Ano;Id;Município;prop_inter_pop_total;prop_dias_perm_internacoes;prop_obito_internacao;prop_pop_acesso_esg;idhm;populacao;pib_percapta
2014;55;Frutal;67;188;1;0,861984669;0,73;57269;24408,33
2008;56;Governador Valadares;604;2298;8;0,971146763;0,635;261981;9884,1
2009;56;Governador Valadares;270;1022;3;0,971466989;0,635;263274;10809,32
2010;56;Governador Valadares;276;1094;2;0,972850593;0,727;263689;13103,72
2011;56;Governador Valadares;176;589;1;0,973490338;0,727;264960;14039,46
2012;56;Governador Valadares;337;1031;1;0,973958451;0,727;266190;15340,23
2013;56;Governador Valadares;259;794;1;0,974180602;0,727;275568;16639,81
2014;56;Governador Valadares;242;914;0;0,974310006;0,727;276995;18311,47
2008;57;Guanhães;133;704;2;0,800335515;0,556;30401;8224,32
2009;57;Guanhães;81;325;3;0,813858607;0,556;30638;8424,16
2010;57;Guanhães;27;112;4;0,797613716;0,686;31262;10055,64
2011;57;Guanhães;24;119;1;0,813170082;0,686;31526;11170,44
2012;57;Guanhães;19;66;1;0,80664548;0,686;31781;14316,76
2013;57;Guanhães;32;107;0;0,776377953;0,686;33020;15251,91
2014;57;Guanhães;64;187;1;0,769919212;0,686;33297;16264,9
2008;58;Guapé;3;15;0;0,771481481;0,58;13500;7749,85
2009;58;Guapé;6;16;1;0,776920223;0,58;13475;8201,46
2010;58;Guapé;4;9;0;0,767733564;0,679;13872;7590,09
2011;58;Guapé;4;32;0;0,766628275;0,679;13892;10895,09
2012;58;Guapé;2;5;0;0,769391129;0,679;13911;10450,61
2013;58;Guapé;3;43;0;0,75482612;0,679;14349;11176,48
2014;58;Guapé;2;24;0;0,764517699;0,679;14379;12487,61
2008;59;Guaraciaba;73;292;2;0,242576095;0,473;10776;3546,74
2009;59;Guaraciaba;80;362;0;0,244269871;0,473;10820;4095,83
2010;59;Guaraciaba;85;366;0;0,270468551;0,623;10223;4341,76
2011;59;Guaraciaba;76;380;1;0,278935525;0,623;10221;4418,74
2012;59;Guaraciaba;69;328;1;0,289097671;0,623;10218;5504,54
2013;59;Guaraciaba;31;141;0;0,29075183;0,623;10521;5938,32
2014;59;Guaraciaba;70;296;0;0,295810772;0,623;10527;6656,88
2008;60;Guarda-Mor;7;17;0;0,541937389;0,58;6772;23365,45
2009;60;Guarda-Mor;10;19;0;0,576866332;0,58;6778;31687,52
2010;60;Guarda-Mor;19;49;0;0,561766946;0,69;6565;28431,05
2011;60;Guarda-Mor;13;37;0;0,561823449;0,69;6559;30085,52
2012;60;Guarda-Mor;6;32;0;0,561813187;0,69;6552;41724,45
2013;60;Guarda-Mor;7;15;0;0,561786085;0,69;6741;36687,73
2014;60;Guarda-Mor;7;21;0;0,561804422;0,69;6739;42721,33
2008;61;Ibiá;7;27;1;0,862483078;0,65;22899;24626,2
2009;61;Ibiá;7;19;0;0,846547315;0,65;23069;24450,14
2010;61;Ibiá;5;19;0;0,831596175;0,718;23218;20897,85
2011;61;Ibiá;1;4;0;0,886422921;0,718;23385;25767,89
2012;61;Ibiá;2;7;0;0,883467108;0,718;23547;26569,12
2013;61;Ibiá;4;12;0;0,854307346;0,718;24435;30585,11
2014;61;Ibiá;3;7;0;0,849997969;0,718;24613;29962,99
2008;62;Ibirité;0;0;0;0,693560435;0,562;155290;6373,68
2009;62;Ibirité;0;0;0;0,719788107;0,562;157438;6800,98
2010;62;Ibirité;0;0;1;0,755690326;0,704;158954;8847,76
2011;62;Ibirité;0;0;2;0,79489633;0,704;160943;9282,99
2012;62;Ibirité;6;20;2;0,83420828;0,704;162867;9494,97
2013;62;Ibirité;12;34;2;0,833545213;0,704;169908;9814,84
2014;62;Ibirité;21;102;0;0,867302189;0,704;171932;10719,87
2008;63;Ipanema;74;532;0;0,569692879;0,571;17778;6093,27
2009;63;Ipanema;81;373;0;0,658517526;0,571;17916;6863,79
2010;63;Ipanema;93;423;1;0,664281783;0,693;18170;6417,29
2011;63;Ipanema;31;150;2;0,680753481;0,693;18315;6785,04
2012;63;Ipanema;78;340;2;0,703549174;0,693;18455;8543,93
2013;63;Ipanema;42;154;2;0,680093921;0,693;19165;9661,36
2014;63;Ipanema;18;64;0;0,702039549;0,693;19318;10627,72
2008;64;Ipatinga;785;4184;8;1,117412709;0,684;241720;25577,18
2009;64;Ipatinga;927;5582;5;1,139516907;0,684;244508;23145,84
2010;64;Ipatinga;741;4943;12;0,989560192;0,771;239468;31443,67
2011;64;Ipatinga;623;4553;15;0,989558622;0,771;241539;33665,21
2012;64;Ipatinga;515;3152;4;0,989558226;0,771;243541;36065,59
2013;64;Ipatinga;270;1685;7;0,989561356;0,771;253098;37637,77
2014;64;Ipatinga;261;1451;6;0,98955991;0,771;255266;36024,28
2008;65;Itabira;46;322;4;0,942649479;0,649;109380;31073,34
2009;65;Itabira;63;405;3;0,945507567;0,649;110419;30930,73
2010;65;Itabira;59;290;1;0,95565798;0,756;109783;37764,65
2011;65;Itabira;49;248;0;0,890659028;0,756;110663;47468,59
2012;65;Itabira;42;270;1;0,892695088;0,756;111514;49850,98
2013;65;Itabira;45;294;2;0,867256102;0,756;115817;53425,17
2014;65;Itabira;80;365;1;0,893905521;0,756;116745;48445,51
2008;66;Itabirinha;137;421;;0,557108254;0,544;10734;4584,86
2009;66;Itabirinha;210;630;;0,584065071;0,544;10819;4674,08
2010;66;Itabirinha;178;531;;0,593340816;0,653;10692;5025,96
2011;66;Itabirinha;199;619;;0,614776952;0,653;10760;5200,19
2012;66;Itabirinha;218;647;;0,830131166;0,653;10826;6471,81
2013;66;Itabirinha;266;796;;0,814861012;0,653;11224;6616,16
2014;66;Itabirinha;143;550;;0,871293264;0,653;11297;6638,49
2008;67;Itabirito;64;208;2;0,818719121;0,629;43314;24712,28
2009;67;Itabirito;54;222;0;0,825219018;0,629;43832;18655,82
2010;67;Itabirito;43;191;0;0,80664041;0,73;45449;41318,68
2011;67;Itabirito;22;69;0;0,804405918;0,73;46029;54556,02
2012;67;Itabirito;28;130;2;0,799995707;0,73;46589;60929,15
2013;67;Itabirito;32;119;0;0,766857284;0,73;48614;82824,88
2014;67;Itabirito;21;98;1;0,858179379;0,73;49203;76075,77
2008;68;Itaguara;26;83;2;0,942085545;0,572;12812;10243,94
2009;68;Itaguara;24;66;0;0,932386539;0,572;12956;8634,49
2010;68;Itaguara;52;140;3;0,811105723;0,691;12372;9242,9
2011;68;Itaguara;9;31;0;0,805700522;0,691;12455;11233,06
2012;68;Itaguara;20;59;0;0,801180788;0,691;12534;13635,69
2013;68;Itaguara;28;83;0;0,80413878;0,691;12999;13714,8
2014;68;Itaguara;27;84;0;0,811492321;0,691;13087;15471,78
2008;69;Itajubá;52;183;0;0,941424273;0,691;89730;14468,22
2009;69;Itajubá;80;368;1;0,964810197;0,691;90225;16128,19
2010;69;Itajubá;39;128;0;0,9129255;0,787;90658;21987,57
2011;69;Itajubá;50;253;2;0,912921379;0,787;91159;22845,3
2012;69;Itajubá;43;157;2;0,912922973;0,787;91643;24690,6
2013;69;Itajubá;48;170;1;0,912923952;0,787;94940;25383,2
2014;69;Itajubá;43;170;2;0,912923731;0,787;95491;28167,13
2008;70;Itaobim;179;878;3;0,110540203;0,542;21603;6266,19
2009;70;Itaobim;139;613;3;0,185539828;0,542;21618;6614,12
2010;70;Itaobim;155;587;5;0,228084377;0,629;21001;7157
2011;70;Itaobim;89;335;1;0,292502741;0,629;20981;7647,39
2012;70;Itaobim;107;401;2;0,418348361;0,629;20961;8819,84
2013;70;Itaobim;27;119;1;0,407714776;0,629;21569;9308,09
2014;70;Itaobim;10;26;0;0,442038394;0,629;21566;11349,17
2008;71;Itapecerica;59;180;2;0,740904807;0,625;21220;7594,53
2009;71;Itapecerica;51;126;1;0,756415094;0,625;21200;7349,7
2010;71;Itapecerica;77;222;1;0,766010198;0,713;21377;9489,08
2011;71;Itapecerica;62;166;0;0,771974939;0,713;21388;11532,04
2012;71;Itapecerica;65;178;1;0,771998692;0,713;21399;13169,37
2013;71;Itapecerica;50;132;1;0,772014147;0,713;22054;15419,06
2014;71;Itapecerica;79;230;4;0,771986233;0,713;22082;14991,71
2008;72;Itaúna;66;257;1;0,955236864;0,685;85070;16085,27
2009;72;Itaúna;73;247;3;0,95511312;0,685;85838;14261,7
2010;72;Itaúna;103;362;0;0,954775751;0,758;85463;19408,53
2011;72;Itaúna;73;239;0;0,947447866;0,758;86124;22568,15
2012;72;Itaúna;77;275;2;0,947211913;0,758;86762;25039,27
2013;72;Itaúna;55;182;0;0,9630234;0,758;90084;26735,53
2014;72;Itaúna;77;273;0;0,955608429;0,758;90783;27657,12
2008;73;Ituiutaba;340;961;13;0,947785106;0,653;96122;13799,04
2009;73;Ituiutaba;230;681;8;0,948542254;0,653;96759;18326,22
2010;73;Ituiutaba;217;652;9;0,956447911;0,739;97171;17385,38
2011;73;Ituiutaba;141;407;5;0,95644838;0,739;97792;19726,47
2012;73;Ituiutaba;194;583;3;0,956449711;0,739;98392;21154,57
2013;73;Ituiutaba;207;551;6;0,956449716;0,739;102020;24984,11
2014;73;Ituiutaba;289;753;4;0,956451456;0,739;102690;26181,24
2008;74;Iturama;383;831;0;1,027827675;0,669;32845;16292,68
2009;74;Iturama;253;559;1;1,038698805;0,669;33231;16896,29
2010;74;Iturama;311;682;0;0,946076155;0,747;34456;44396,87
2011;74;Iturama;264;558;0;0,946087704;0,747;34890;51836,06
2012;74;Iturama;347;746;0;0,946074544;0,747;35308;52271,67
2013;74;Iturama;276;560;0;0,946086815;0,747;36837;48163,18
2014;74;Iturama;266;559;2;0,946079352;0,747;37277;41184,63
2008;75;Jacinto;260;890;0;0,327473553;0,471;12856;4523,86
2009;75;Jacinto;313;1112;0;0,323918595;0,471;12923;4945,17
2010;75;Jacinto;334;1007;0;0,380501071;0,62;12134;4580,18
2011;75;Jacinto;214;484;0;0,42774757;0,62;12138;5109,92
2012;75;Jacinto;170;373;1;0,446713886;0,62;12142;5933,39
2013;75;Jacinto;177;417;0;0,438494125;0,62;12511;6231,95
2014;75;Jacinto;193;467;0;0,496167359;0,62;12524;6645,86
2008;76;Jaíba;53;177;0;0,018200139;0,467;31758;7077,57
2009;76;Jaíba;13;41;0;0,077757067;0,467;32190;8510,94
2010;76;Jaíba;5;18;0;0,226962813;0,638;33587;6949,28
2011;76;Jaíba;8;52;0;0,232896011;0,638;34071;8743,58
2012;76;Jaíba;18;75;0;0,140681548;0,638;34539;9051,82
2013;76;Jaíba;14;68;1;0,166906754;0,638;36098;11163,9
2014;76;Jaíba;11;46;0;0,181408189;0,638;36586;11814,65
2008;77;Janaúba;61;287;0;0,099174284;0,58;67941;7654,79
2009;77;Janaúba;67;390;1;0,237410072;0,58;68527;7445,01
2010;77;Janaúba;34;183;0;0,282801671;0,696;66803;7336,72
2011;77;Janaúba;33;130;0;0,300406256;0,696;67199;8461,26
2012;77;Janaúba;43;227;0;0,194744085;0,696;67581;9570,58
2013;77;Janaúba;31;200;2;0,235704801;0,696;70041;10360,9
2014;77;Janaúba;68;594;2;0,294755364;0,696;70472;11902,36
2008;78;Januária;145;588;1;0,241823647;0,541;67206;4861,22
2009;78;Januária;35;224;1;0,258486877;0,541;67516;4960,88
2010;78;Januária;23;127;2;0,09700136;0,658;65463;5189,38
2011;78;Januária;17;110;0;0,106499406;0,658;65606;5581,84
2012;78;Januária;11;58;0;0,114261377;0,658;65744;6772,36
2013;78;Januária;6;34;0;0,140081031;0,658;67875;7505,93
2014;78;Januária;6;30;1;0,167971792;0,658;68065;8221,83
2008;79;Jequitinhonha;93;285;0;0,342256522;0,513;24879;4327,41
2009;79;Jequitinhonha;152;524;1;0,330965682;0,513;25060;4706,09
2010;79;Jequitinhonha;241;848;1;0,350835025;0,615;24131;4516,65
2011;79;Jequitinhonha;122;380;2;0,512259556;0,615;24226;5454,99
2012;79;Jequitinhonha;121;350;2;0,55331661;0,615;24317;5607,27
2013;79;Jequitinhonha;61;175;0;0,5455666;0,615;25150;6276,25
2014;79;Jequitinhonha;10;23;0;0,57418844;0,615;25260;7476,47
2008;80;Joaíma;128;412;1;0,725358976;0,442;15391;4136,74
2009;80;Joaíma;120;352;2;0,630043973;0,442;15464;4401,65
2010;80;Joaíma;78;266;6;0,669901613;0,587;14941;4385,86
2011;80;Joaíma;36;101;0;0,682853517;0,587;14971;4825,98
2012;80;Joaíma;48;139;1;0,6876;0,587;15000;5477,08
2013;80;Joaíma;41;126;1;0,677194342;0,587;15483;5923,43
2014;80;Joaíma;20;83;1;0,687560394;0,587;15523;6672,03
2008;81;João Monlevade;48;189;1;0,966141922;0,672;74576;19260,33
2009;81;João Monlevade;35;107;1;0,956598513;0,672;75320;17472,81
2010;81;João Monlevade;62;281;3;0,995476158;0,758;73610;23104,11
2011;81;João Monlevade;28;123;1;0,998084756;0,758;74142;26882,22
2012;81;João Monlevade;43;226;1;0,995472507;0,758;74655;26703,59
2013;81;João Monlevade;30;107;2;1;0,758;77474;28221,75
2014;81;João Monlevade;27;182;1;1;0,758;78040;30392,63
2008;82;João Pinheiro;52;182;;0,656042289;0,581;44834;11848,68
2009;82;João Pinheiro;49;202;;0,696190476;0,581;45150;11409,87
2010;82;João Pinheiro;35;145;;0,711931065;0,697;45260;13633,13
2011;82;João Pinheiro;16;71;;0,778375294;0,697;45559;17463,77
2012;82;João Pinheiro;18;61;;0,777503926;0,697;45848;18101,55
2013;82;João Pinheiro;32;130;;0,812214768;0,697;47549;20143,85
2014;82;João Pinheiro;62;235;;0,812220597;0,697;47870;22592,12
2008;83;Juiz de Fora;319;1912;4;0,972132798;0,703;520612;13715,11
2009;83;Juiz de Fora;204;1117;6;0,972236884;0,703;526706;14093,51
2010;83;Juiz de Fora;254;1229;1;0,969710236;0,778;516247;19140,86
2011;83;Juiz de Fora;215;1176;2;0,970088957;0,778;520811;20142,36
2012;83;Juiz de Fora;371;1860;7;0,97062973;0,778;525225;22687,73
2013;83;Juiz de Fora;269;1608;1;0,971339446;0,778;545942;24172,71
2014;83;Juiz de Fora;314;1689;5;0,947968985;0,778;550710;24913,8
2008;84;Juramento;4;17;;0,438416422;0,535;4092;6781,06
2009;84;Juramento;0;0;;0,459591042;0,535;4108;6987,5
2010;84;Juramento;0;0;;0,46754194;0,669;4113;6158,53
2011;84;Juramento;0;0;;0,475060533;0,669;4130;6653,63
2012;84;Juramento;0;0;;0,471297636;0,669;4146;18675,21
2013;84;Juramento;0;0;;0,46198694;0,669;4288;16198,56
2014;84;Juramento;0;0;;0,552356629;0,669;4307;8019,49
2008;85;Lagoa da Prata;61;206;1;0,949541879;0,623;46276;12661,37
2009;85;Lagoa da Prata;47;156;0;0,966749633;0,623;47007;13998,84
2010;85;Lagoa da Prata;78;230;0;0,977252958;0,732;45984;17101,65
2011;85;Lagoa da Prata;27;73;0;0,967468145;0,732;46539;18349,37
2012;85;Lagoa da Prata;23;62;0;0,96747812;0,732;47076;19530,59
2013;85;Lagoa da Prata;10;65;1;0,973578602;0,732;49089;22640,01
2014;85;Lagoa da Prata;23;104;1;0,973516736;0,732;49654;25468,87
2008;86;Lagoa Santa;7;33;0;0,35493899;0,656;47287;13268,15
2009;86;Lagoa Santa;9;65;0;0,450666833;0,656;48213;13949,15
2010;86;Lagoa Santa;7;20;0;0,438404417;0,777;52520;18710,24
2011;86;Lagoa Santa;6;25;1;0,46503868;0,777;53645;20448,34
2012;86;Lagoa Santa;4;12;1;0,448841628;0,777;54732;22356,07
2013;86;Lagoa Santa;12;60;0;0,464203233;0,777;57589;24627,94
2014;86;Lagoa Santa;5;33;0;0,565943239;0,777;58702;28404,59
2008;87;Lajinha;27;84;0;0,373747551;0,525;17865;8013,26
2009;87;Lajinha;32;99;0;0,384658898;0,525;17678;9013,87
2010;87;Lajinha;6;23;0;0,393696772;0,661;19609;8569,13
2011;87;Lajinha;2;10;1;0,393556281;0,661;19616;11220,06
2012;87;Lajinha;1;3;0;0,403424727;0,661;19622;10779,1
2013;87;Lajinha;12;53;0;0,398733864;0,661;20219;12023,27
2014;87;Lajinha;29;109;1;0,422953411;0,661;20241;11983,21
2008;88;Lambari;8;28;0;0,586372411;0,627;19167;7468,64
2009;88;Lambari;3;14;0;0,58402619;0,627;19244;8020,59
2010;88;Lambari;9;63;0;0,600797791;0,711;19554;9185,63
2011;88;Lambari;4;7;1;0,597710506;0,711;19655;12680,91
2012;88;Lambari;13;37;0;0,61791211;0,711;19752;11364,29
2013;88;Lambari;16;35;0;0,626509558;0,711;20453;11546,51
2014;88;Lambari;10;27;0;0,673069442;0,711;20564;13533,77
2008;89;Lavras;109;415;0;0,972583842;0,678;91333;12115,89
2009;89;Lavras;104;376;2;0,995634415;0,678;92542;13094,19
2010;89;Lavras;97;325;1;0,952885033;0,782;92200;16209,02
2011;89;Lavras;56;223;0;0,95288048;0,782;93231;17631,3
2012;89;Lavras;61;217;1;0,952880248;0,782;94228;19376,62
2013;89;Lavras;44;162;0;0,952888807;0,782;98172;20975,39
2014;89;Lavras;49;286;0;0,952886757;0,782;99229;21271,22
2008;90;Lima Duarte;46;186;1;0,548375319;0,584;16434;6912,63
2009;90;Lima Duarte;19;83;2;0,709348854;0,584;16494;7150,62
2010;90;Lima Duarte;13;62;1;0,724503065;0,71;16149;7482,08
2011;90;Lima Duarte;13;68;1;0,727244639;0,71;16183;8858,03
2012;90;Lima Duarte;18;70;2;0,725764677;0,71;16216;9328,79
2013;90;Lima Duarte;18;84;0;0,738530466;0,71;16740;12301,34
2014;90;Lima Duarte;43;138;0;0,765578458;0,71;16786;13232,6
2008;91;Machado;76;203;0;0,918995628;0,63;39109;15861,07
2009;91;Machado;53;154;1;0,918980485;0,63;39509;15797,31
2010;91;Machado;62;168;2;0,958591811;0,715;38688;15428,07
2011;91;Machado;41;105;1;0,959980503;0,715;38981;19092,86
2012;91;Machado;51;144;0;0,953061328;0,715;39264;18450,51
2013;91;Machado;45;115;3;1;0,715;40760;18726,37
2014;91;Machado;41;118;0;1;0,715;41070;18630,06
2008;92;Malacacheta;77;288;0;0,502787495;0,482;18296;4378,54
2009;92;Malacacheta;69;277;0;0,533193994;0,482;18181;4841,9
2010;92;Malacacheta;73;269;2;0,565402642;0,618;18776;4994,37
2011;92;Malacacheta;48;191;1;0,568783351;0,618;18740;5777,51
2012;92;Malacacheta;22;89;2;0,583747661;0,618;18705;6614,14
2013;92;Malacacheta;18;81;0;0,587840649;0,618;19228;7449,6
2014;92;Malacacheta;61;287;0;0,608256546;0,618;19209;8611,26
2008;93;Manhuaçu;186;709;0;0,764310936;0,61;77598;14423,46
2009;93;Manhuaçu;129;557;1;0,777329686;0,61;78605;14101,64
2010;93;Manhuaçu;175;816;3;0,778746827;0,689;79574;13931,78
2011;93;Manhuaçu;118;615;1;0,953681858;0,689;80530;17936,36
2012;93;Manhuaçu;121;463;2;0,942851881;0,689;81455;18741,32
2013;93;Manhuaçu;85;367;2;0,904231521;0,689;84934;19292,66
2014;93;Manhuaçu;154;533;1;1;0,689;85909;21266,39
2008;94;Manhumirim;115;489;4;0,82296559;0,571;20866;14462,98
2009;94;Manhumirim;62;233;4;0,824018343;0,571;20934;10107,36
2010;94;Manhumirim;58;215;2;0,797072304;0,697;21382;10551,82
2011;94;Manhumirim;19;110;1;0,797086611;0,697;21487;13498,67
2012;94;Manhumirim;12;40;0;0,793533145;0,697;21587;13738,88
2013;94;Manhumirim;4;20;0;0,766511545;0,697;22348;13661,38
2014;94;Manhumirim;2;21;0;0,762519475;0,697;22465;16427,09
2008;95;Mantena;118;373;0;0,771680709;0,57;27536;7098,2
2009;95;Mantena;113;349;0;0,668401015;0,57;27580;6953,6
2010;95;Mantena;135;391;0;0,576149902;0,675;27111;7614,28
2011;95;Mantena;137;404;3;0,780869886;0,675;27130;8754,01
2012;95;Mantena;213;580;4;0,783446294;0,675;27148;10282,21
2013;95;Mantena;190;493;1;0,773076511;0,675;27983;10525,17
2014;95;Mantena;215;633;1;0,777539878;0,675;28023;11553,11
2008;96;Mariana;56;219;1;0,649706422;0,62;53989;41160,18
2009;96;Mariana;40;150;0;0,522518239;0,62;54689;26419,21
2010;96;Mariana;61;222;2;0,580460724;0,742;54219;68110,53
2011;96;Mariana;36;122;0;0,628239288;0,742;54796;104415,23
2012;96;Mariana;43;194;1;0,67526602;0,742;55353;97386,27
2013;96;Mariana;40;161;2;0,649993928;0,742;57639;114734,39
2014;96;Mariana;117;419;0;0,698916422;0,742;58233;86042,63
2008;97;Martinho Campos;22;59;0;0,078853331;0,585;12593;13543,37
2009;97;Martinho Campos;14;41;0;0,35389354;0,585;12662;11261
2010;97;Martinho Campos;24;61;0;0,65315994;0,669;12611;12395,29
2011;97;Martinho Campos;36;100;1;0,871843434;0,669;12672;13798,32
2012;97;Martinho Campos;39;122;3;0,428481659;0,669;12731;16883,5
2013;97;Martinho Campos;19;54;0;0,455007587;0,669;13180;15540,61
2014;97;Martinho Campos;13;32;1;0,556461353;0,669;13248;18164,23
2008;98;Matozinhos;63;193;1;0,581304435;0,647;34789;16327,35
2009;98;Matozinhos;32;112;0;0,722107115;0,647;35233;14729,36
2010;98;Matozinhos;66;213;0;0,794021499;0,731;33955;20436,98
2011;98;Matozinhos;6;18;0;0,812975652;0,731;34295;21663,88
2012;98;Matozinhos;27;67;1;0,760079713;0,731;34624;25067,34
2013;98;Matozinhos;9;30;0;0,755266298;0,731;36031;24701,16
2014;98;Matozinhos;29;87;0;0,789153977;0,731;36382;27051,92
2008;99;Medina;180;553;2;0,704168831;0,477;21181;4534,85
2009;99;Medina;151;549;2;0,723087852;0,477;21115;4851,74
2010;99;Medina;137;496;4;0,717777989;0,624;21026;5658,52
2011;99;Medina;87;272;0;0,717765384;0,624;20979;7018,39
2012;99;Medina;89;251;2;0,717779689;0,624;20934;7309,58
2013;99;Medina;69;179;0;0,71779854;0,624;21513;8654,57
2014;99;Medina;36;109;0;0,717756574;0,624;21485;8835,77
2008;100;Monte Carmelo;84;327;2;0,854274428;0,603;45819;14794,5
2009;100;Monte Carmelo;114;699;0;0,854246873;0,603;45975;12898,68
2010;100;Monte Carmelo;143;467;2;0,866621515;0,728;45772;16232,67
2011;100;Monte Carmelo;90;295;1;0,867322938;0,728;45916;19761,56
2012;100;Monte Carmelo;190;688;0;0,864857236;0,728;46055;18431,64
2013;100;Monte Carmelo;243;788;0;0,836894632;0,728;47595;23170,13
2014;100;Monte Carmelo;219;706;0;0,83749215;0,728;47770;26785,66
2008;101;Montes Claros;188;1410;5;0,993189513;0,661;358271;9665,14
2009;101;Montes Claros;160;954;5;1,018233777;0,661;363227;10503,35
2010;101;Montes Claros;132;793;5;0,951679262;0,77;361915;13381,39
2011;101;Montes Claros;133;889;6;0,951679025;0,77;366135;14915,18
2012;101;Montes Claros;119;673;3;0,95167956;0,77;370216;16672,24
2013;101;Montes Claros;148;963;6;0,951678941;0,77;385898;18250,2
2014;101;Montes Claros;138;843;2;0,951680112;0,77;390212;20102,68
2008;102;Muriaé;464;1661;4;0,920146254;0,635;99006;8945,26
2009;102;Muriaé;517;1883;1;0,916218332;0,635;99628;9311,71
2010;102;Muriaé;629;2216;1;0,925172431;0,734;100765;12076,97
2011;102;Muriaé;321;1185;2;0,925170806;0,734;101431;13491,36
2012;102;Muriaé;301;1088;1;0,925171934;0,734;102074;15076,83
2013;102;Muriaé;177;643;1;1;0,734;105861;16446,47
2014;102;Muriaé;205;789;2;1;0,734;106576;16972,6
2008;103;Nanuque;119;439;0;0,779796564;0,596;41389;8652,03
2009;103;Nanuque;60;181;1;0,80945583;0,596;41329;8781,39
2010;103;Nanuque;53;178;1;0,831170103;0,701;40834;12878,17
2011;103;Nanuque;29;78;1;0,841712856;0,701;40774;10800,43
2012;103;Nanuque;40;135;1;0,854921898;0,701;40716;12108,34
2013;103;Nanuque;9;31;1;0,843609705;0,701;41876;12983,79
2014;103;Nanuque;34;133;2;0,862085444;0,701;41852;13871,04
2008;104;Nepomuceno;12;47;0;0,765124697;0,57;25141;8041,16
2009;104;Nepomuceno;5;13;0;0,785345102;0,57;25152;9289,89
2010;104;Nepomuceno;10;35;0;0,773442661;0,667;25733;8854,82
2011;104;Nepomuceno;3;15;0;0,798589311;0,667;25803;12401,4
2012;104;Nepomuceno;3;10;0;0,800123691;0,667;25871;12189,45
2013;104;Nepomuceno;8;28;0;0,785781104;0,667;26725;12055,05
2014;104;Nepomuceno;5;14;0;0,839176488;0,667;26812;13988,99
2008;105;Nova Lima;27;193;0;0,087528135;0,684;75530;33054,49
2009;105;Nova Lima;27;115;2;0,10681652;0,684;76608;27682,84
2010;105;Nova Lima;19;110;3;0,113891701;0,813;80998;66318,77
2011;105;Nova Lima;9;34;0;0,145722169;0,813;82273;84958,74
2012;105;Nova Lima;18;107;0;0,178643707;0,813;83507;94879,48
2013;105;Nova Lima;30;241;3;0,22926846;0,813;87391;109443,14
2014;105;Nova Lima;12;75;3;0,27975009;0,813;88672;103282,14
2008;106;Nova Serrana;22;66;0;0,890297042;0,614;65176;9144,92
2009;106;Nova Serrana;11;54;0;0,912119117;0,614;67967;9110,72
2010;106;Nova Serrana;36;115;0;0,895466696;0,715;73699;13707,68
2011;106;Nova Serrana;15;45;0;0,917117753;0,715;76482;15769,03
2012;106;Nova Serrana;13;37;0;0,945676611;0,715;79174;18816,57
2013;106;Nova Serrana;6;33;2;0,945665287;0,715;84550;19448,39
2014;106;Nova Serrana;6;15;1;0,945668118;0,715;87260;21136,44
2008;107;Novo Cruzeiro;149;476;0;0,194632805;0,427;31264;3279,7
2009;107;Novo Cruzeiro;59;226;0;0,19144928;0,427;31319;3599,39
2010;107;Novo Cruzeiro;65;226;5;0,234922701;0,571;30725;3667,2
2011;107;Novo Cruzeiro;76;238;1;0,25200026;0,571;30746;4368,72
2012;107;Novo Cruzeiro;88;278;1;0,262651542;0,571;30767;4901,4
2013;107;Novo Cruzeiro;61;208;0;0,259750907;0,571;31715;5213,87
2014;107;Novo Cruzeiro;102;347;0;0,270056675;0,571;31760;6520
2008;108;Oliveira;49;215;1;0,892122981;0,601;39063;8086,7
2009;108;Oliveira;49;192;0;1;0,601;39214;8740,04
2010;108;Oliveira;62;302;1;0,893731313;0,699;39466;11008,44
2011;108;Oliveira;48;305;1;0,893710422;0,699;39637;12582,54
2012;108;Oliveira;22;99;1;0,893972513;0,699;39801;13873,4
2013;108;Oliveira;17;60;0;0,898715427;0,699;41181;15734,38
2014;108;Oliveira;23;79;0;0,898924471;0,699;41375;16692,07
2008;109;Ouro Branco;17;46;0;0,866596249;0,686;35029;72331,46
2009;109;Ouro Branco;5;26;0;0,89068358;0,686;35475;46864,97
2010;109;Ouro Branco;20;67;0;0,896251559;0,764;35268;58073,41
2011;109;Ouro Branco;18;73;0;0,896248913;0,764;35643;70325,59
2012;109;Ouro Branco;8;39;2;0,896239516;0,764;36006;79036,22
2013;109;Ouro Branco;5;20;1;0,896244532;0,764;37492;78450,08
2014;109;Ouro Branco;7;55;0;0,896245842;0,764;37878;82185,95
2008;110;Ouro Fino;115;306;2;0,679221381;0,652;32365;9644,6
2009;110;Ouro Fino;82;199;1;0,820352952;0,652;32639;10493,77
2010;110;Ouro Fino;82;182;2;1;0,722;31568;12620,15
2011;110;Ouro Fino;53;138;2;0,994769017;0,722;31734;14957,8
2012;110;Ouro Fino;115;258;3;0,990185934;0,722;31893;15255,09
2013;110;Ouro Fino;69;185;0;0,990191033;0,722;33031;15190,25
2014;110;Ouro Fino;115;207;1;0,990184862;0,722;33214;15453,33
2008;111;Ouro Preto;38;173;3;0,784133081;0,64;69251;36922,03
2009;111;Ouro Preto;27;122;0;0,781379955;0,64;69495;35868,58
2010;111;Ouro Preto;46;205;1;0,667989926;0,741;70281;52883,39
2011;111;Ouro Preto;30;129;0;0,665075295;0,741;70589;77705,59
