Ano;Id;Município;prop_inter_pop_total;prop_dias_perm_internacoes;prop_obito_internacao;prop_pop_acesso_esg;idhm;populacao;pib_percapta;cresc_pop;prop_pop_atend_com_esgoto
2009;47;Diamantina;0;0;0;0,698223066;0,602;46372;6202,71;0,002618243;0,245622358
2010;47;Diamantina;8,71384E-05;4;0;0,72048823;0,716;45880;8324,22;-0,033274366;0,219245859
2011;47;Diamantina;0;0;0;0,934920117;0,716;46005;9157,78;0,000348554;0,217585045
2012;47;Diamantina;0,000435426;4,6;0;1,014135501;0,716;46125;10586,07;0,000261324;0,21701897
2013;47;Diamantina;0,000253571;4,333333333;0;0,805150377;0,716;47647;11821,71;0,030305669;0,213654585
2014;47;Diamantina;0,000591017;3,857142857;0;0,952408845;0,716;47803;12758,94;0,001098808;0,21337573
2008;48;Divisópolis;0,003664077;3,58;0;0,018587809;0,445;8285;4952,06;0,035042476;0
2009;48;Divisópolis;0,002040965;3,357142857;0;0,052936311;0,445;8463;5366,98;0,005349553;0
2010;48;Divisópolis;0,002252569;3,59375;0,03125;0,079674616;0,609;8974;4691,53;0,035498214;0
2011;48;Divisópolis;0,002375463;3,264705882;0;0,124590879;0,609;9166;5785,53;0,007532029;0
2008;49;Dores do Indaiá;0,001184792;2,878787879;0,060606061;1,023504868;0,603;14380;7982,87;0,03335312;0
2010;49;Dores do Indaiá;0,002210145;2,508196721;0,016393443;0,915517492;0,719;13778;8815,03;-0,013016736;0
2008;50;Elói Mendes;0,000744186;2,75;0,083333333;0,65032913;0,618;25218;10991,81;0,040389703;0
2009;50;Elói Mendes;0,000859898;2,785714286;0;0,99796334;0,618;25532;9716,05;0,009674419;0
2010;50;Elói Mendes;0,00061665;4,555555556;0,111111111;0,807850912;0,685;25220;12375,27;-0,103556293;0,400396511
2011;50;Elói Mendes;0,00178009;2,5;0;0,807867462;0,685;25472;14683,44;0,000753683;0,400989322
2012;50;Elói Mendes;0,001368363;3,1;0;0,800233327;0,685;25715;14370,42;0,00068465;0,4472098
2013;50;Elói Mendes;0,000464622;4,857142857;0;0,807840353;0,685;26759;12487,8;0,030788177;0,429761949
2014;50;Elói Mendes;0,000265111;3,75;0;0,807838928;0,685;27019;17255,78;0,001460242;0,430363818
2008;51;Esmeraldas;0,006230892;2,934579439;0;0,13732485;0,538;58307;4746,23;0,038837301;0,306069597
2009;51;Esmeraldas;0,002425362;3,261904762;0,011904762;0,153884999;0,538;59408;4902,47;0,008414616;0,308224482
2010;51;Esmeraldas;0,004798437;2,592814371;0;0,154402615;0,671;60271;5410,3;0,004879598;0,341955501
2011;51;Esmeraldas;0,003476774;2,803278689;0;0,156731883;0,671;61283;6113,44;0,008246416;0,357668521
2012;51;Esmeraldas;0,004834879;2,245614035;0;0,151858276;0,671;62262;6926,69;0,007922485;0,366515692
2013;51;Esmeraldas;0,002857921;2,228571429;0;0,148058997;0,671;65224;7310,24;0,038792128;0,360342819
2014;51;Esmeraldas;0,005102454;2,412698413;0;0,177468786;0,671;66237;7926,89;0,008192705;0,37482072
2008;52;Extrema;0,000136221;2;0;0,823800878;0,607;26436;47366,93;0,026139223;0,028143441
2009;52;Extrema;0,000682501;2,4;0;0,821395691;0,607;27155;51346,8;-0,002043318;0,026956362
2010;52;Extrema;0,000282127;3,5;0;0,825413476;0,732;28599;65983,88;-0,032350532;0,025490402
2011;52;Extrema;0,000141563;2;0;0,844435349;0,732;29319;81418,03;-0,00352659;0,023568335
2012;52;Extrema;0;0;0;0,88063033;0,732;30016;103412,75;-0,003539071;0,020022655
2013;52;Extrema;0;0;0;0,874672641;0,732;31693;128859,55;0,025998011;0,019373363
2014;52;Extrema;0;0;0;0,909912968;0,732;32402;144320,88;-0,00263085;0,019906179
2008;53;Formiga;0,002452367;2,743589744;0;0,887497382;0,655;66834;9983,7;0,039275912;0
2009;53;Formiga;0,00149598;3,125;0,083333333;0,900607342;0,655;67178;10409,2;0,00880337;0,220771681
2010;53;Formiga;0,000915631;3;0,071428571;0,918330058;0,755;65128;13512,63;-0,046936359;0,219598329
2011;53;Formiga;0,000325542;2,2;0;0,923903888;0,755;65299;15089,06;0,004512753;0,220018683
2012;53;Formiga;6,4834E-05;3;0;0,923973482;0,755;65464;16744,21;0,004232046;0,219968227
2013;53;Formiga;0;0;0;0,942706716;0,755;67617;17261,02;0,034815871;0,215093837
2014;53;Formiga;0,000124704;2;0;0,940250321;0,755;67833;18976,54;0,004824259;0,21641384
2008;54;Francisco Sá;0,000129887;5;0;0,444586629;0,48;25788;5704,71;0,038534173;0
2009;54;Francisco Sá;0,000257666;3,666666667;0;0,467954143;0,48;25994;6127,32;0,008182881;0
2010;54;Francisco Sá;0,000428339;4,7;0;0,480611753;0,654;24912;6054,91;0,002576656;0
2011;54;Francisco Sá;0,000340107;3,625;0;0,506355932;0,654;25016;8331,21;0,007538765;0
2012;54;Francisco Sá;0,000379875;4,777777778;0;0,504339863;0,654;25116;9202,97;0,007227277;0,836120401
2013;54;Francisco Sá;0,000121981;3,666666667;0;0,499903783;0,654;25983;11768,82;0,038071923;0,846707463
2014;54;Francisco Sá;8,04376E-05;8;0;0,509960923;0,654;26102;11975,23;0,010978287;0,942226649
2008;55;Frutal;0,003233508;5,46728972;0,009345794;0,857877029;0,643;54094;12796,54;0,03190096;0,397530225
2009;55;Frutal;0,005334217;5,830508475;0,005649718;0,872288805;0,643;54819;14347,19;0,002749992;0,410660537
2010;55;Frutal;0,006192717;5,495;0,005;0,86199222;0,73;53468;14502,77;-0,026701224;0,350882771
2011;55;Frutal;0,005723125;4,864864865;0,010810811;0,861994889;0,73;53998;17901,74;0,000897944;0,347438794
2012;55;Frutal;0,004729082;5,712418301;0,006535948;0,861991158;0,73;54511;19729,38;0,000866203;0,361358258
2013;55;Frutal;0,003777205;5,896825397;0;0,861988717;0,73;56720;21667,03;0,03106358;0,375846262
2014;55;Frutal;0,005507003;5,076086957;0,010869565;0,861984669;0,73;57269;24408,33;0,001618802;0,373186191
2008;56;Governador Valadares;0,000895962;4,907894737;0,026315789;0,971146763;0,635;261981;9884,1;0,037855893;0,19017028
2009;56;Governador Valadares;0,000959379;4,195121951;0,024390244;0,971466989;0,635;263274;10809,32;0,007627468;0,195955544
2010;56;Governador Valadares;0,000469269;3,875;0,05;0,972850593;0,727;263689;13103,72;-0,002726039;0,205977496
2011;56;Governador Valadares;0,000221417;5,315789474;0,052631579;0,973490338;0,727;264960;14039,46;0,006710543;0,213824728
2012;56;Governador Valadares;0,000995785;3,906976744;0,023255814;0,973958451;0,727;266190;15340,23;0,006444395;0,221961757
2013;56;Governador Valadares;0,000881913;3,721518987;0,012658228;0,974180602;0,727;275568;16639,81;0,03721458;0,236910672
2014;56;Governador Valadares;0,000776122;3,685714286;0,014285714;0,974310006;0,727;276995;18311,47;0,006854362;0,242971895
2008;57;Guanhães;0,001694437;3,388888889;0;0,800335515;0,556;30401;8224,32;0,047116806;0,180224335
2009;57;Guanhães;0,002318464;2,72;0;0,813858607;0,556;30638;8424,16;0,015061659;0,178014231
2010;57;Guanhães;0,00437254;3,075;0;0,797613716;0,686;31262;10055,64;-0,151627562;0,188535602
2011;57;Guanhães;0,002946955;3,037037037;0,037037037;0,813170082;0,686;31526;11170,44;0,001530389;0,189779864
2012;57;Guanhães;0,001852659;3,235294118;0;0,80664548;0,686;31781;14316,76;0,001528051;0,193732104
2013;57;Guanhães;0,002112602;2,95;0;0,776377953;0,686;33020;15251,91;0,031713165;0,189854634
2014;57;Guanhães;0,001159481;2,272727273;0,090909091;0,769919212;0,686;33297;16264,9;0,002112602;0,198876776
2008;58;Guapé;0,004835227;2,417475728;0;0,771481481;0,58;13500;7749,85;0,023544109;0,841555556
2009;58;Guapé;0,006270036;2,443609023;0;0,776920223;0,58;13475;8201,46;-0,004224955;0,888089054
2010;58;Guapé;0,005730231;2,408695652;0,008695652;0,767733564;0,679;13872;7590,09;-0,053884594;0,890282584
2011;58;Guapé;0,00557173;2,432432432;0;0,766628275;0,679;13892;10895,09;-0,00732473;0,926360495
2012;58;Guapé;0,006623186;2,572519084;0;0,769391129;0,679;13911;10450,61;-0,007177994;0,918481777
2013;58;Guapé;0,007222717;2,623287671;0,006849315;0,75482612;0,679;14349;11176,48;0,021993023;0,910028573
2014;58;Guapé;0,007117969;2,58041958;0;0,764517699;0,679;14379;12487,61;-0,006134362;0,902566242
2008;59;Guaraciaba;0,001330229;4,0625;0;0,242576095;0,473;10776;3546,74;0,031914894;0
2009;59;Guaraciaba;0,001077854;4,461538462;0;0,244269871;0,473;10820;4095,83;0,002743598;0,671534196
2011;59;Guaraciaba;0,000253058;4;0;0,278935525;0,623;10221;4418,74;0,001605272;0,878583309
2012;59;Guaraciaba;0,000842318;2,8;0,1;0,289097671;0,623;10218;5504,54;0,001433994;0,880113525
2013;59;Guaraciaba;0,000244918;3;0;0,29075183;0,623;10521;5938,32;0,031755391;0,881950385
2014;59;Guaraciaba;0,000570218;3,714285714;0;0,295810772;0,623;10527;6656,88;0,002204262;0,883347582
2009;60;Guarda-Mor;0,001572602;3,388888889;0;0,576866332;0,58;6778;31687,52;0,007747843;0
2008;61;Ibiá;0,001123911;2,1875;0,0625;0,862483078;0,65;22899;24626,2;0,042395841;0,331892222
2009;61;Ibiá;0,002431062;3,685714286;0;0,846547315;0,65;23069;24450,14;0,011309357;0,412414929
2010;61;Ibiá;0,003272727;2,555555556;0;0,831596175;0,718;23218;20897,85;-0,044939918;0,451761564
2011;61;Ibiá;0,00108358;2,8;0;0,886422921;0,718;23385;25767,89;0,006763636;0,448535386
2012;61;Ibiá;0,001363767;2,684210526;0;0,883467108;0,718;23547;26569,12;0,006429242;0,451267677
2013;61;Ibiá;0,000622794;1,555555556;0;0,854307346;0,718;24435;30585,11;0,037252369;0,438223859
