"Ano","Id","Município","N. Internação","Dias de Permanência","N. Óbitos","Prop Inter / Total Pop","Prop Dias Perm / Internações","Prop de Óbitos / Inter","IDHM","PIB per Capita série revisada","POP_TOT - População total do município do ano de referência (Fonte: IBGE):","ES001 - População total atendida com esgotamento sanitário","ES002 - Quantidade de ligações ativas de esgotos","ES005 - Volume de esgotos coletado","ES006 - Volume de esgotos tratado","IN015_AE - Índice de coleta de esgoto","IN016_AE - Índice de tratamento de esgoto","IN046_AE - Índice de esgoto tratado referido à água consumida","IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água"
"2014",269,"Serro",39,182,1,0.0018204733230639965,4.666666666666667,0.02564102564102564,0.656,9120.67,21423,9911,3009,287.63,287.63,51.21,100.0,51.21,46.26
"2008",273,"Teófilo Otoni",120,692,10,9.193922817017951E-4,5.766666666666667,0.08333333333333333,0.589,7999.41,130521,97458,28779,3100.98,0.0,63.28,0.0,0.0,74.67
"2009",273,"Teófilo Otoni",89,558,9,6.81903506822866E-4,6.269662921348314,0.10112359550561797,0.589,8848.55,130517,101119,29932,3172.06,0.0,65.13,0.0,0.0,77.48
"2010",273,"Teófilo Otoni",73,526,3,5.417640728784E-4,7.205479452054795,0.0410958904109589,0.701,10878.66,134745,103215,30660,3220.87,0.0,65.93,0.0,0.0,76.6
"2011",273,"Teófilo Otoni",61,437,3,4.513369933557275E-4,7.163934426229508,0.04918032786885246,0.701,11895.06,135154,105539,31423,3238.21,1.24,65.92,0.04,0.03,78.09
"2012",273,"Teófilo Otoni",41,261,2,3.0247364421722036E-4,6.365853658536586,0.04878048780487805,0.701,12672.82,135549,108693,32428,3256.87,1750.12,64.92,53.74,34.89,80.19
"2013",273,"Teófilo Otoni",57,356,3,4.069481034076549E-4,6.245614035087719,0.05263157894736842,0.701,13734.21,140067,112613,33429,3435.15,2478.68,65.09,72.16,46.96,80.4
"2014",273,"Teófilo Otoni",32,209,1,2.2764944830579013E-4,6.53125,0.03125,0.701,15379.33,140567,114832,35592,3527.27,3162.73,65.83,89.67,59.03,81.69
"2008",276,"Três Corações",89,310,4,0.0011889018020545291,3.4831460674157304,0.0449438202247191,0.635,18178.23,74859,65415,0,2324.12,0.0,74.04,0.0,0.0,87.38
"2009",276,"Três Corações",104,384,1,0.0013724662162162163,3.6923076923076925,0.009615384615384616,0.635,17739.28,75776,66611,18960,2362.29,0.0,74.51,0.0,0.0,87.91
"2010",276,"Três Corações",87,280,2,0.0011956297670583384,3.218390804597701,0.022988505747126436,0.744,20727.86,72765,65826,19611,2441.2,0.0,74.4,0.0,0.0,90.46
"2011",276,"Três Corações",74,250,1,0.0010090129399091888,3.3783783783783785,0.013513513513513514,0.744,22859.19,73339,66345,20420,2493.48,2.28,74.21,0.09,0.07,90.46
"2012",276,"Três Corações",77,334,3,0.0010420331826670637,4.337662337662338,0.03896103896103896,0.744,23587.28,73894,66847,21171,2550.89,0.41,74.1,0.02,0.01,90.46
"2013",276,"Três Corações",42,188,1,5.473453749315818E-4,4.476190476190476,0.023809523809523808,0.744,23141.12,76734,69417,21871,2563.67,0.0,74.35,0.0,0.0,90.46
"2014",276,"Três Corações",37,152,0,4.7840703387638995E-4,4.108108108108108,0.0,0.744,23836.24,77340,69965,22551,2635.62,0.0,74.38,0.0,0.0,90.46
"2008",277,"Três Marias",86,289,1,0.0031105324074074073,3.36046511627907,0.011627906976744186,0.641,29131.8,27648,22471,7028,664.85,0.0,60.45,0.0,0.0,81.28
"2009",277,"Três Marias",24,102,0,8.558590685400471E-4,4.25,0.0,0.641,31620.46,28042,22751,7131,704.03,0.0,63.71,0.0,0.0,81.13
"2010",277,"Três Marias",73,189,0,0.0025778656684794124,2.589041095890411,0.0,0.752,34732.38,28318,23809,7539,766.99,73.64,63.04,9.6,6.05,84.08
"2011",277,"Três Marias",35,98,1,0.0012202349823937524,2.8,0.02857142857142857,0.752,33850.46,28683,24520,7818,788.93,788.93,63.09,100.0,63.09,85.49
"2012",277,"Três Marias",32,83,0,0.0011020801763328282,2.59375,0.0,0.752,32674.56,29036,25147,8077,823.25,171.07,62.08,20.78,12.9,86.61
"2013",277,"Três Marias",28,76,0,9.240314170681803E-4,2.7142857142857144,0.0,0.752,37544.76,30302,25841,8327,823.82,694.16,62.19,84.26,52.4,85.28
"2014",277,"Três Marias",40,107,2,0.0013040785055260327,2.675,0.05,0.752,40031.97,30673,26562,8568,789.96,789.96,62.0,100.0,62.0,86.6
"2008",278,"Três Pontas",31,358,2,5.751284762805885E-4,11.548387096774194,0.06451612903225806,0.626,10553.4,53901,46866,14024,1748.0,0.0,84.39,0.0,0.0,86.95
"2009",278,"Três Pontas",89,257,0,0.0016436129937764316,2.8876404494382024,0.0,0.626,9967.28,54149,46907,14433,2312.0,0.0,99.78,0.0,0.0,86.63
"2010",278,"Três Pontas",48,124,0,8.911994058670628E-4,2.5833333333333335,0.0,0.731,12310.8,53860,46280,15201,2518.39,15.87,99.6,0.63,0.63,85.93
"2011",278,"Três Pontas",29,106,1,5.362624357409668E-4,3.6551724137931036,0.034482758620689655,0.731,14856.58,54078,46686,15721,2552.57,17.58,97.97,0.69,0.67,86.33
