ano;id;prop_intern_pop;prop_dias_perm_intern;prop_obitos;pop_total;qntd_lig_ativa_esg;qntd_econ_ativa_esg;vol_esg_coletado;vol_esg_tratado;vol_esg_fat;qntd_res_ativ_esg;qntd_lig_total_esg;ind_coleta_esg;ind_trata_esg;ext_rede_esg_lig;ind_atend_esg_mun_atend_agua;ind_esg_trat_agua_cons;ind_atend_esg_mun_esg;ind_atend_esg_mun_agua;rec_oper_dir_agua;rec_oper_dir_esg;rec_oper_indireta;desp_explor;inv_esg_sanit_prest_serv;inv_realiz_esg_sanit_mun;inv_realiz_esg_estado;desp_total_serv_m3_fat;tarifa_med_prat;tar_media_agua;tar_media_esg;desp_explor_m3_fat;desp_explor_econ;margem_desp_explor
2010;126;0,016648;2,983146;0,000000;10692,000000;1881,000000;1975,000000;170,960000;0,000000;241,310000;1777,000000;1881,000000;0,674600;0,000000;8,090000;0,757900;0,000000;0,757900;0,593300;736887,210000;276383,060000;29730,040000;944818,790000;0,000000;0,000000;0,000000;2,400000;1,940000;2,610000;1,150000;1,800000;220,860000;93,240000
2011;126;0,018494;3,110553;0,000000;10760,000000;1964,000000;2049,000000;175,920000;5,860000;246,150000;1853,000000;1964,000000;0,667900;0,033300;8,160000;0,785300;0,022200;0,785300;0,614800;774412,810000;286077,590000;20609,530000;1074285,280000;1922435,000000;;;2,520000;1,970000;2,640000;1,160000;1,990000;230,430000;101,300000
2012;126;0,020137;2,967890;0,000000;10826,000000;2708,000000;2794,000000;248,140000;6,130000;260,680000;2556,000000;2708,000000;0,740200;0,024700;10,610000;0,800400;0,018300;0,800400;0,830100;920509,680000;337069,830000;26895,880000;1132547,040000;772058,910000;;;2,540000;2,020000;2,540000;1,290000;1,820000;204,820000;90,060000
2013;126;0,023699;2,992481;0,000000;11224,000000;2835,000000;2918,000000;256,040000;15,520000;330,140000;2671,000000;2835,000000;0,718500;0,060600;11,710000;0,791900;0,043600;0,791900;0,814900;986658,610000;421315,810000;29949,140000;1351437,760000;536788,670000;0,000000;0,000000;2,390000;1,970000;2,560000;1,280000;1,890000;219,160000;95,980000
2014;126;0,012658;3,846154;0,000000;11297,000000;2928,000000;3001,000000;257,940000;61,050000;335,340000;2757,000000;2928,000000;0,723700;0,236700;10,970000;0,819100;0,171300;0,819100;0,871300;1049684,180000;477774,530000;37590,120000;1508104,440000;0,000000;0,000000;0,000000;2,650000;2,100000;2,680000;1,420000;2,070000;236,550000;98,730000
2008;127;0,001478;3,250000;0,031250;43314,000000;10066,000000;11714,000000;2055,600000;0,000000;2169,800000;10746,000000;10609,000000;0,726100;0,000000;10,280000;0,852900;0,000000;0,852900;0,818700;3354801,630000;1610415,700000;291707,690000;4628883,230000;614781,400000;;;0,910000;0,970000;1,140000;0,740000;0,900000;182,920000;93,230000
2009;127;0,001232;4,111111;0,000000;43832,000000;10798,000000;12623,000000;1085,000000;0,000000;1085,000000;11616,000000;11399,000000;0,505600;0,000000;10,000000;0,859600;0,000000;0,859600;0,825200;3680073,000000;1788313,000000;348785,000000;5146488,000000;110877,000000;110877,000000;0,000000;1,600000;1,690000;1,710000;1,650000;1,590000;191,610000;94,110000
2010;127;0,000946;4,441860;0,000000;45449,000000;10908,000000;12734,000000;1200,000000;0,000000;1200,000000;11731,000000;11545,000000;0,505300;0,000000;10,110000;0,841500;0,000000;0,841500;0,806600;3893244,360000;1870872,200000;367516,070000;5385442,620000;38909,000000;;;1,510000;1,610000;1,640000;1,560000;1,510000;192,420000;93,430000
2011;127;0,000478;3,136364;0,000000;46029,000000;11232,000000;13060,000000;1300,000000;0,000000;1300,000000;12046,000000;11827,000000;0,519600;0,000000;10,610000;0,839200;0,000000;0,839200;0,804400;4704578,670000;2095423,310000;351913,340000;5357405,870000;33185,700000;0,000000;0,000000;1,410000;1,790000;1,880000;1,610000;1,410000;187,090000;78,790000
2012;127;0,000601;4,642857;0,071429;46589,000000;11536,000000;13442,000000;1455,000000;0,000000;1455,000000;12405,000000;12131,000000;0,553900;0,000000;14,650000;0,834600;0,000000;0,834600;0,800000;5489876,080000;2606336,100000;419105,240000;6140077,140000;14388,400000;0,000000;0,000000;1,510000;1,980000;2,090000;1,790000;1,500000;207,420000;75,840000
