Ano;Id;Prop Inter / Total Pop;Prop Dias Perm / Internações;Prop de Óbitos / Inter;POP_TOT - População total do município do ano de referência (Fonte: IBGE):;% POP_TOT atendida com ES;IDHM;PIB per Capita série revisada;ES002 - Quantidade de ligações ativas de esgotos;ES005 - Volume de esgotos coletado;ES006 - Volume de esgotos tratado;IN015_AE - Índice de coleta de esgoto;IN016_AE - Índice de tratamento de esgoto;IN046_AE - Índice de esgoto tratado referido à água consumida;IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água
2008;8;0,003397005;3,053846154;0,007692308;38269;0,788444955;0,529;4975,58;8907;992,09;0;0,6962;0;0;0,7884
2009;8;0,002465547;3,505263158;0,052631579;38531;0,799330409;0,529;5489,78;9178;1032,32;0;0,7097;0;0;0,7993
2010;8;0,003610574;2,907142857;0,007142857;38775;0,818826564;0,642;6822,02;9753;1063,99;0;0,7183;0;0;0,8188
2011;8;0,002484886;3,350515464;0,010309278;39036;0,818833897;0,642;7603,4;10361;1080,71;0,31;0,7191;0,0003;0,0002;0,8188
2012;8;0,003258075;2,8125;0,0078125;39287;0,818820475;0,642;8054,09;10788;1138,74;414,77;0,7201;0,3642;0,2623;0,8188
2013;8;0,002674912;3,440366972;0,018348624;40749;0,81881764;0,642;9098,35;11357;1156,6;993;0,7243;0,8586;0,6218;0,8188
2014;8;0,002754217;3,247787611;0,008849558;41028;0,818831042;0,642;10240,99;12110;1172,91;1092,32;0,722;0,9313;0,6724;0,8188
2008;9;0,005193119;3,770833333;0,020833333;18486;0;0,633;11379,41;;;;;;;
2009;9;0,002309469;3,837209302;0,069767442;18619;0,803480316;0,633;11570,41;5386;845;0;1;0;0;0,8035
2010;9;0,003083081;3,842105263;0,070175439;18488;0,810796192;0,725;10994,46;5647;878;0;1;0;0;0,8108
2011;9;0,002526882;3,510638298;0,042553191;18600;0;0,725;12752,79;;;;;;;
2012;9;0,003794965;3,563380282;0,014084507;18709;0,908653589;0,725;13061,48;5000;820;0;1;0;0;0,9087
2013;9;0,0033005;2,984375;0,015625;19391;1;0,725;13345,98;5000;820;0;1;0;0;1
2014;9;0,00266489;3,461538462;0,038461538;19513;0,999333777;0,725;14806,49;5200;825;10;1;0,0121;0,0126;0,9993
2008;10;0,001018626;3,285714286;0;13744;0;0,565;7365,47;;;;;;;
2009;10;0,000651702;3,777777778;0;13810;0,739971035;0,565;7576,99;3500;223;173;0,4758;0,7758;0,3691;0,74
2010;10;0,000364511;3,4;0;13717;0,729168185;0,668;7915,68;3900;300;262;0,629;0,8733;0,5493;0,7292
2011;10;0,000290402;1,75;0;13774;0;0,668;9329,18;;;;;;;
2012;10;7,23E-05;2;0;13829;0;0,668;10266,35;;;;;;;
2013;10;0,000419404;2,666666667;0;14306;0,729134629;0,668;10559,34;4163;324;227;0,6349;0,7006;0,4449;0,7291
2014;10;0;0;0;14371;0,725836755;0,668;11742,89;4163;328;230;0,6491;0,7012;0,4552;0,7258
2008;11;0,00189978;3,666666667;0;36320;0;0,644;11315,69;;;;;;;
2009;11;0,001010018;3,216216216;0;36633;0,982720498;0,644;11148,05;12661;1507;0;0,9045;0;0;0,9827
2010;11;0,000348806;2,384615385;0,153846154;37270;0,886128253;0,734;12966,42;12886;3153,6;0;1;0;0;0,8861
2011;11;0,000930826;2,914285714;0;37601;0,880295737;0,734;15657,8;13300;3200;0;1;0;0;0,8803
2012;11;0,000764768;2,931034483;0,068965517;37920;0,873760549;0,734;17253,74;13593;3360;0;1;0;0;0,8738
2013;11;0,000811853;3,875;0,0625;39416;0,840597727;0,734;17394,75;13893;3428;0;1;0;0;0,8406
2014;11;0,001056311;3,523809524;0;39761;0,849953472;0,734;18295,45;14170;3450;0;1;0;0;0,85
2008;12;0,006172508;4,243478261;0,013043478;37262;0,071788954;0,516;4285,99;718;23,64;0;0,0226;0;0;0,0718
2009;12;0,004252701;3,597484277;0,031446541;37388;0,187814272;0,516;4564,11;1999;165,26;0;0,1574;0;0;0,1878
2010;12;0,002193652;3,518987342;0,012658228;36013;0,332685419;0,663;5421,98;3556;357,99;0;0,3294;0;0;0,3327
2011;12;0,001997947;3,875;0,041666667;36037;0,405139163;0,663;5931,35;4469;442,57;107,73;0,3897;0,2434;0,0949;0,4051
2012;12;0,001830334;3,575757576;0;36059;0,446157686;0,663;6702,23;4862;474,33;225,34;0,3458;0,4751;0,1643;0,4462
2013;12;0,001748769;3,892307692;0,015384615;37169;0,484140009;0,663;7629,69;5394;523,26;359,91;0,4237;0,6878;0,2914;0,4841
2014;12;0,002149382;3,5625;0,0375;37220;0,52337453;0,663;9171,63;5852;553,66;364;0,4423;0,6574;0,2908;0,5234
2008;13;0,001903312;2,885714286;0;110334;0,904934109;0,673;16723,68;31350;7610;20;0,8;0,0026;0,0021;0,9049
2009;13;0,001701247;2,989417989;0,010582011;111095;0,887825735;0,673;17239,3;32050;8658;24;0,9335;0,0028;0,0026;0,8878
2010;13;0,002103806;3,121212121;0,008658009;109801;0,934262894;0,773;19564,66;32266;8834;41;0,85;0,0046;0,0039;0,9343
