Ano;Id;Prop Inter / Total Pop;Prop Dias Perm / Internações;Prop de Óbitos / Inter;POP_TOT - População total do município do ano de referência (Fonte: IBGE):;% POP_TOT atendida com ES;IDHM;PIB per Capita série revisada;ES002 - Quantidade de ligações ativas de esgotos;ES005 - Volume de esgotos coletado;ES006 - Volume de esgotos tratado;IN015_AE - Índice de coleta de esgoto;IN016_AE - Índice de tratamento de esgoto;IN046_AE - Índice de esgoto tratado referido à água consumida;IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água
2008;24;0,003880225;3,566037736;0;13659;0,226590526;0,497;3818,48;1020;77,26;77,26;0,4841;1;0,4841;0,2266
2009;24;0,005686375;3,5;0;13717;0,229204637;0,497;4044,81;1041;64,51;53,68;0,5526;0,8321;0,4599;0,2292
2010;24;0,007073171;3,218390805;0;12300;0,365853659;0,628;4304,85;1400;134;134;0,6979;1;0,6979;0,3659
2011;24;0,005388635;3,136363636;0;12248;0,171456564;0,628;4771,96;1207;100,14;99,03;0,552;0,9889;0,5459;0,1715
2012;24;0,004836859;3,169491525;0,016949153;12198;0,290785375;0,628;5201,02;1149;62,77;62,77;0,3392;1;0,3392;0,2908
2013;24;0,004956828;2,870967742;0,016129032;12508;0,32739047;0,628;6207,6;1170;123,28;94,72;0,6257;0,7683;0,4808;0,3274
2014;24;0,005212928;2,984615385;0,015384615;12469;0,294009143;0,628;6957,94;1162;110,48;110,48;0,5948;1;0,5948;0,294
2008;25;0,000116413;6,8;0,02;429507;0,666131169;0,612;58938,14;71993;10635,65;933,53;0,5646;0,0878;0,0496;0,6661
2009;25;9,05E-05;6,575;0,025;441748;0,718681239;0,612;57009,27;80114;11405,3;1036,02;0,6014;0,0908;0,0546;0,7187
2010;25;0,000153403;6,034482759;0,017241379;378089;0,869181595;0,749;61939,08;83594;12350,23;3341,42;0,6298;0,2706;0,1704;0,8692
2011;25;9,39E-05;3,944444444;0,027777778;383571;0,885893355;0,749;56927,57;86662;12639,89;8485,25;0,6315;0,6713;0,4239;0,8859
2012;25;0,000131148;6,098039216;0;388873;0,905010119;0,749;55678,87;88692;12813,86;11488,6;0,6229;0,8966;0,5584;0,905
2013;25;6,15E-05;6,84;0;406474;0,931702889;0,749;54140,46;93879;13099,66;11955,63;0,6321;0,9127;0,5769;0,9317
2014;25;0,000131067;6,185185185;0;412003;0,964196863;0,749;53456,01;96910;13443,74;13443,74;0,6405;1;0,6405;0,9642
2008;26;0,004795487;2,970588235;0;14180;0;0,673;6478,36;;;;;;;
2009;26;0,00286533;3,341463415;0;14309;0;0,673;6696,55;;;;;;;
2010;26;0,003222735;3,318181818;0;13653;0;0,744;8830,29;;;;;;;
2011;26;0,001457726;3,4;0;13720;0;0,744;10412,56;;;;;;;
2012;26;0,001668722;3,913043478;0;13783;0,704708699;0,744;11484,33;9713;1166;0;1;0;0;0,7047
2013;26;0,001471825;3,333333333;0;14268;0,680754135;0,744;12972,4;9713;1166;0;1;0;0;0,6808
2014;26;0,000418352;2,333333333;0;14342;0,691674801;0,744;14434,15;9748;1172;0;1;0;0;0,6917
2008;27;0,0012026;3,29787234;0;39082;0,882094059;0,617;10676,59;9734;1409,69;0;0,8028;0;0;0,8821
2009;27;0,001019004;2,625;0;39254;0,900264941;0,617;10855,97;10097;1552;0;0,8004;0;0;0,9003
2010;27;0,001090456;3,452380952;0;38516;0,835782532;0,704;11107,72;10453;1517;0;0,8001;0;0;0,8358
2011;27;0,001113211;2,651162791;0;38627;0,835788438;0,704;14348,72;10766;1564,73;0;0,8;0;0;0,8358
2012;27;0,001213404;2,638297872;0;38734;0,835777353;0,704;15842,75;11182;1623,93;0;0,8;0;0;0,8358
2013;27;0,000724674;3,517241379;0;40018;0,835773902;0,704;15297,5;11515;1659,73;0;0,7996;0;0;0,8358
2014;27;0,000796912;3,09375;0,03125;40155;0,835786328;0,704;16244,81;11883;1717,61;1717,61;0,7997;1;0,7997;0,8358
2008;28;0,000928605;3,674418605;0;46306;0,741847709;0,577;7527,64;8769;1265;0;0,7441;0;0;0,7418
2009;28;0,00141558;2,984848485;0,045454545;46624;0,742107069;0,577;7708,34;8895;1270;0;0,7471;0;0;0,7421
2010;28;0,001800489;2,821428571;0;46654;0,746988468;0,7;8439,86;9355;1360;;0,7861;;;0,747
2011;28;0,000638978;3,833333333;0;46950;0,745473908;0,7;9586,03;9683;1400;0;0,7125;0;0;0,7455
2012;28;0,000804471;3,473684211;0;47236;0,762130578;0,7;11837,26;10216;1449;0;0,7355;0;0;0,7621
2013;28;0,000449218;2,818181818;0;48974;0,769796218;0,7;13067,1;10603;1013,92;0;0,564;0;0;0,7698
2014;28;0,00109549;3,425925926;0;49293;0,768871848;0,7;13348,83;10781;1319;0;0,7198;0;0;0,7689
2008;29;0,001139004;3,86;0;43898;1;0,665;11756,36;13753;1631,32;0;0,7292;0;0;1
2009;29;0,000338868;4,666666667;0,066666667;44265;1;0,665;11278,66;14266;1664,54;0;0,7382;0;0;1
2010;29;0,000810977;4,810810811;0;45624;0,941675434;0,75;13815,39;14842;1732,19;0;0,7354;0;0;0,9417
2011;29;0,0006296;3,379310345;0,034482759;46061;0,941686025;0,75;15344,45;15380;1799,96;0;0,7361;0;0;0,9417
2012;29;0,000451788;3,380952381;0;46482;0,941676348;0,75;17464,94;16100;1827,72;0;0,7355;0;0;0,9417
2013;29;0,00033092;3,6875;0;48350;0,941675284;0,75;19169,38;16666;1845,56;0;0,7357;0;0;0,9417
2014;29;0,000245892;2,583333333;0;48802;0,941682718;0,75;20507,56;17349;1837,47;948,28;0,738;0,5161;0,3809;0,9417
2008;30;0,000957746;3,058823529;0;17750;0,765408451;0,59;8587,69;4581;427,98;427,98;0,7393;1;0,7393;0,7654
2009;30;0,000505476;3,666666667;0;17805;0,80112328;0,59;8739,52;4596;479;479;0,7438;1;0,7438;0,8011
2010;30;0,000695935;2,5;0;17243;0,832511744;0,692;9445,26;4832;649;649;0,9954;1;0,9954;0,8325
2011;30;0,001216897;3,333333333;0,095238095;17257;0;0,692;11740,51;;;;;;;
2012;30;0,000752707;2,461538462;0;17271;0,879045799;0,692;13184,28;5113;532,94;432,94;0,8001;0,8124;0,65;0,879
2013;30;0,000393148;2,857142857;0;17805;0;0,692;12884,41;;;;;;;
2014;30;0,00056079;2,6;0;17832;0;0,692;16068,54;;;;;;;
2008;31;0,001426719;3,045454545;0;15420;0,847470817;0,615;7466,33;4260;399,66;26,44;0,7721;0,0662;0,0511;0,8475
2009;31;0,00064487;3;0;15507;0,853292062;0,615;7939,28;4308;408;29,55;0,784;0,0724;0,0568;0,8533
2010;31;0,000350508;3,333333333;0;17118;0,793784321;0,73;9392,16;4452;422,53;31,75;0,7781;0,0751;0,0585;0,7938
2011;31;0,000808127;2,785714286;0;17324;0,801373817;0,73;10524,97;4575;430,58;31,83;0,7787;0,0739;0,0576;0,8014
2012;31;0,00079895;2,571428571;0;17523;0,801403869;0,73;12129,95;4724;435,77;11,77;0,7731;0,027;0,0209;0,8014
2013;31;0,000273658;3,4;0,2;18271;0,801379235;0,73;12364,26;4881;441,7;7,78;0,7757;0,0176;0,0137;0,8014
